listing_id,niche,season,product,angle,design_text,title,tags,price_usd,est_fees_usd,est_cogs_usd,est_profit_usd,est_margin_pct,priority,status
LB-00001,Cat Moms,Halloween,Sweatshirt,Photo Style,Photo Collage Layout,Photo Collage Layout Sweatshirt | Halloween | Cat Moms,halloween shirt|spooky mug|cute halloween|cat moms|cat gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00002,Dental Hygienists,Evergreen,Sweatshirt,Pun,Fueled by Coffee and Chaos,Fueled by Coffee and Chaos Sweatshirt | Evergreen | Dental Hygienists,funny gift|personalized gift|custom shirt|dental hygienists|dental gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00003,Girl Moms,Graduation,T-Shirt,Custom Name,Custom Name Here,Custom Name Here T-Shirt | Graduation | Girl Moms,graduation gift|class of 2026|grad shirt|girl moms|girl gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,high,backlog
LB-00004,Grandmas/Nanas,Back to School,Sweatshirt,Sarcastic,Chaos Coordinator,Chaos Coordinator Sweatshirt | Back to School | Grandmas/Nanas,back to school|teacher shirt|classroom decor|grandmas nanas|grandmas/nanas gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00005,Therapists,Back to School,Sweatshirt,Profession Pride,Built for Service,Built for Service Sweatshirt | Back to School | Therapists,back to school|teacher shirt|classroom decor|therapists|therapists gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00006,Real Estate Agents,Fathers Day,T-Shirt,Pun,Read Sleep Repeat,Read Sleep Repeat T-Shirt | Fathers Day | Real Estate Agents,fathers day gift|gift for dad|dad shirt|real estate agents|real gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,high,backlog
LB-00007,Moms of 2+,Evergreen,Sticker,Sentimental,Forever Proud,Forever Proud Sticker | Evergreen | Moms of 2+,funny gift|personalized gift|custom shirt|moms of 2+|moms gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,medium,backlog
LB-00008,Moms of 2+,Christmas,Sweatshirt,Minimalist,Mama Era,Mama Era Sweatshirt | Christmas | Moms of 2+,christmas gift|holiday shirt|xmas mug|moms of 2+|moms gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
LB-00009,Dog Moms,Mothers Day,T-Shirt,Sarcastic,Running on Vibes,Running on Vibes T-Shirt | Mothers Day | Dog Moms,mothers day gift|gift for mom|mama gift|dog moms|dog gift|t-shirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,2.82,16.5,5.67,22.7,high,backlog
LB-00010,Plant Lovers,Christmas,Sticker,Profession Pride,Healing Hands,Healing Hands Sticker | Christmas | Plant Lovers,christmas gift|holiday shirt|xmas mug|plant lovers|plant gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,medium,backlog
LB-00011,Plant Lovers,Mothers Day,Sticker,Sarcastic,Not Today,Not Today Sticker | Mothers Day | Plant Lovers,mothers day gift|gift for mom|mama gift|plant lovers|plant gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00012,Coffee Lovers,Fathers Day,Sticker,Sarcastic,Professionally Tired,Professionally Tired Sticker | Fathers Day | Coffee Lovers,fathers day gift|gift for dad|dad shirt|coffee lovers|coffee gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,1.02,3.0,1.97,32.9,high,backlog
LB-00013,Therapists,Evergreen,Sweatshirt,Custom Name,Est. Year Custom,Est. Year Custom Sweatshirt | Evergreen | Therapists,funny gift|personalized gift|custom shirt|therapists|therapists gift|sweatshirt|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,3.77,24.0,7.22,20.6,medium,backlog
