wave,publish_date,listing_id,niche,season,product,title,tags,price_usd,est_margin_pct,status
W5,2026-03-25,LB-00604,Christian Moms,Back to School,Sticker,Classroom Hero Sticker | Back to School | Christian Moms,back to school|teacher shirt|classroom decor|christian moms|christian gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-26,LB-00607,Boy Moms,Christmas,Sticker,Class of 2026 Sticker | Christmas | Boy Moms,christmas gift|holiday shirt|xmas mug|boy moms|boy gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-27,LB-00609,Boy Moms,Halloween,Sticker,Custom Name Here Sticker | Halloween | Boy Moms,halloween shirt|spooky mug|cute halloween|boy moms|boy gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-28,LB-00611,Teachers,Christmas,Sticker,Groovy Flowers Sticker | Christmas | Teachers,christmas gift|holiday shirt|xmas mug|teachers|teachers gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-29,LB-00628,Real Estate Agents,Halloween,Sticker,Proud to Teach Sticker | Halloween | Real Estate Agents,halloween shirt|spooky mug|cute halloween|real estate agents|real gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-30,LB-00631,Christian Moms,Halloween,Sticker,Distressed Classic Sticker | Halloween | Christian Moms,halloween shirt|spooky mug|cute halloween|christian moms|christian gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-31,LB-00634,Dog Moms,Back to School,Sticker,Forever Proud Sticker | Back to School | Dog Moms,back to school|teacher shirt|classroom decor|dog moms|dog gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-25,LB-00639,Nurses,Back to School,Sticker,Retro Script Sticker | Back to School | Nurses,back to school|teacher shirt|classroom decor|nurses|nurses gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-26,LB-00651,Gamers,Back to School,Sticker,Retro Script Sticker | Back to School | Gamers,back to school|teacher shirt|classroom decor|gamers|gamers gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-27,LB-00652,Book Lovers,Halloween,Sticker,Nurse Life Sticker | Halloween | Book Lovers,halloween shirt|spooky mug|cute halloween|book lovers|book gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-28,LB-00682,Dental Hygienists,Christmas,Sticker,Plant Parent Energy Sticker | Christmas | Dental Hygienists,christmas gift|holiday shirt|xmas mug|dental hygienists|dental gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-29,LB-00685,Teachers,Halloween,Sticker,Est. Year Custom Sticker | Halloween | Teachers,halloween shirt|spooky mug|cute halloween|teachers|teachers gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-30,LB-00693,Christian Moms,Back to School,Sticker,IYKYK Sticker | Back to School | Christian Moms,back to school|teacher shirt|classroom decor|christian moms|christian gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-31,LB-00700,Boy Moms,Halloween,Sticker,Holy Moly Guacamole Sticker | Halloween | Boy Moms,halloween shirt|spooky mug|cute halloween|boy moms|boy gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-25,LB-00728,Girl Moms,Halloween,Sticker,Proud to Teach Sticker | Halloween | Girl Moms,halloween shirt|spooky mug|cute halloween|girl moms|girl gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-26,LB-00734,Coffee Lovers,Back to School,Sticker,Caregiver Heart Sticker | Back to School | Coffee Lovers,back to school|teacher shirt|classroom decor|coffee lovers|coffee gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-27,LB-00747,Dog Moms,Halloween,Sticker,Picture + Name Sticker | Halloween | Dog Moms,halloween shirt|spooky mug|cute halloween|dog moms|dog gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-28,LB-00753,Moms of 2+,Halloween,Sticker,Photo Collage Layout Sticker | Halloween | Moms of 2+,halloween shirt|spooky mug|cute halloween|moms of 2+|moms gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-29,LB-00765,Christian Moms,Halloween,Sticker,Not Today Sticker | Halloween | Christian Moms,halloween shirt|spooky mug|cute halloween|christian moms|christian gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-30,LB-00772,Graduation Families,Halloween,Sticker,My Favorite Human Sticker | Halloween | Graduation Families,halloween shirt|spooky mug|cute halloween|graduation families|graduation gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-31,LB-00776,Plant Lovers,Back to School,Sticker,Polaroid Frame Style Sticker | Back to School | Plant Lovers,back to school|teacher shirt|classroom decor|plant lovers|plant gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-25,LB-00779,Real Estate Agents,Christmas,Sticker,Paws and Effect Sticker | Christmas | Real Estate Agents,christmas gift|holiday shirt|xmas mug|real estate agents|real gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-26,LB-00781,Plant Lovers,Halloween,Sticker,Polaroid Frame Style Sticker | Halloween | Plant Lovers,halloween shirt|spooky mug|cute halloween|plant lovers|plant gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-27,LB-00788,Grandmas/Nanas,Halloween,Sticker,Built for Service Sticker | Halloween | Grandmas/Nanas,halloween shirt|spooky mug|cute halloween|grandmas nanas|grandmas/nanas gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-28,LB-00789,New Dads,Halloween,Sticker,Dog Mom Club Sticker | Halloween | New Dads,halloween shirt|spooky mug|cute halloween|new dads|new gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-29,LB-00813,Grandmas/Nanas,Halloween,Sticker,Barely Functioning Sticker | Halloween | Grandmas/Nanas,halloween shirt|spooky mug|cute halloween|grandmas nanas|grandmas/nanas gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-30,LB-00819,Gamers,Christmas,Sticker,Personalized Family Name Sticker | Christmas | Gamers,christmas gift|holiday shirt|xmas mug|gamers|gamers gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-31,LB-00824,Real Estate Agents,Halloween,Sticker,Photo Collage Layout Sticker | Halloween | Real Estate Agents,halloween shirt|spooky mug|cute halloween|real estate agents|real gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-25,LB-00836,New Dads,Back to School,Sticker,Custom Role Name Sticker | Back to School | New Dads,back to school|teacher shirt|classroom decor|new dads|new gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-26,LB-00850,Fitness Moms,Christmas,Sticker,Custom Name Here Sticker | Christmas | Fitness Moms,christmas gift|holiday shirt|xmas mug|fitness moms|fitness gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-27,LB-00882,New Dads,Halloween,Sticker,Vintage Sunset Sticker | Halloween | New Dads,halloween shirt|spooky mug|cute halloween|new dads|new gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-28,LB-00912,New Moms,Christmas,Sticker,Polaroid Frame Style Sticker | Christmas | New Moms,christmas gift|holiday shirt|xmas mug|new moms|new gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-29,LB-00917,Plant Lovers,Halloween,Sticker,Nurse Strong Sticker | Halloween | Plant Lovers,halloween shirt|spooky mug|cute halloween|plant lovers|plant gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-30,LB-00922,Girl Moms,Christmas,Sticker,Always in My Heart Sticker | Christmas | Girl Moms,christmas gift|holiday shirt|xmas mug|girl moms|girl gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-31,LB-00928,Grandmas/Nanas,Halloween,Sticker,Polaroid Frame Style Sticker | Halloween | Grandmas/Nanas,halloween shirt|spooky mug|cute halloween|grandmas nanas|grandmas/nanas gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-25,LB-00930,Gamers,Halloween,Sticker,Respawn and Repeat Sticker | Halloween | Gamers,halloween shirt|spooky mug|cute halloween|gamers|gamers gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-26,LB-00938,Plant Lovers,Christmas,Sticker,Read Sleep Repeat Sticker | Christmas | Plant Lovers,christmas gift|holiday shirt|xmas mug|plant lovers|plant gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-27,LB-00941,New Dads,Christmas,Sticker,Holy Moly Guacamole Sticker | Christmas | New Dads,christmas gift|holiday shirt|xmas mug|new dads|new gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-28,LB-00950,Christian Moms,Halloween,Sticker,Professionally Tired Sticker | Halloween | Christian Moms,halloween shirt|spooky mug|cute halloween|christian moms|christian gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W5,2026-03-29,LB-00951,Dental Hygienists,Back to School,Sticker,Holy Moly Guacamole Sticker | Back to School | Dental Hygienists,back to school|teacher shirt|classroom decor|dental hygienists|dental gift|sticker|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
