wave,publish_date,listing_id,niche,season,product,title,tags,price_usd,est_margin_pct,status
W7,2026-04-08,LB-00947,Book Lovers,Halloween,Sweatshirt,Built for Service Sweatshirt | Halloween | Book Lovers,halloween shirt|spooky mug|cute halloween|book lovers|book gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W7,2026-04-09,LB-00952,Grandmas/Nanas,Back to School,Sweatshirt,Est. Year Custom Sweatshirt | Back to School | Grandmas/Nanas,back to school|teacher shirt|classroom decor|grandmas nanas|grandmas/nanas gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W7,2026-04-10,LB-00954,Boy Moms,Back to School,Sweatshirt,Photo Collage Layout Sweatshirt | Back to School | Boy Moms,back to school|teacher shirt|classroom decor|boy moms|boy gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W7,2026-04-11,LB-00961,Fitness Moms,Halloween,Sweatshirt,Teacher Vibes Sweatshirt | Halloween | Fitness Moms,halloween shirt|spooky mug|cute halloween|fitness moms|fitness gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W7,2026-04-12,LB-00997,Coffee Lovers,Christmas,Sweatshirt,Custom Role Name Sweatshirt | Christmas | Coffee Lovers,christmas gift|holiday shirt|xmas mug|coffee lovers|coffee gift|sweatshirt|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,34.99,20.6,queued
W7,2026-04-13,LB-00017,Cat Moms,Halloween,Mug,Barely Functioning Mug | Halloween | Cat Moms,halloween shirt|spooky mug|cute halloween|cat moms|cat gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-14,LB-00018,Real Estate Agents,Halloween,Mug,Read Sleep Repeat Mug | Halloween | Real Estate Agents,halloween shirt|spooky mug|cute halloween|real estate agents|real gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-08,LB-00020,Nurses,Christmas,Mug,Plant Parent Energy Mug | Christmas | Nurses,christmas gift|holiday shirt|xmas mug|nurses|nurses gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-09,LB-00025,Graduation Families,Christmas,Mug,Healing Hands Mug | Christmas | Graduation Families,christmas gift|holiday shirt|xmas mug|graduation families|graduation gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-10,LB-00067,Fitness Moms,Christmas,Mug,Snapshot Memory Mug | Christmas | Fitness Moms,christmas gift|holiday shirt|xmas mug|fitness moms|fitness gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-11,LB-00072,New Moms,Christmas,Mug,Dad Mode Mug | Christmas | New Moms,christmas gift|holiday shirt|xmas mug|new moms|new gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-12,LB-00090,Coffee Lovers,Christmas,Mug,IYKYK Mug | Christmas | Coffee Lovers,christmas gift|holiday shirt|xmas mug|coffee lovers|coffee gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-13,LB-00098,Book Lovers,Back to School,Mug,Healing Hands Mug | Back to School | Book Lovers,back to school|teacher shirt|classroom decor|book lovers|book gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-14,LB-00110,Plant Lovers,Christmas,Mug,Vitals and Vibes Mug | Christmas | Plant Lovers,christmas gift|holiday shirt|xmas mug|plant lovers|plant gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-08,LB-00133,Dental Hygienists,Halloween,Mug,Respawn and Repeat Mug | Halloween | Dental Hygienists,halloween shirt|spooky mug|cute halloween|dental hygienists|dental gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-09,LB-00134,Therapists,Back to School,Mug,Healing Hands Mug | Back to School | Therapists,back to school|teacher shirt|classroom decor|therapists|therapists gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-10,LB-00138,Coffee Lovers,Halloween,Mug,Personalized Family Name Mug | Halloween | Coffee Lovers,halloween shirt|spooky mug|cute halloween|coffee lovers|coffee gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-11,LB-00146,Girl Moms,Back to School,Mug,Professionally Tired Mug | Back to School | Girl Moms,back to school|teacher shirt|classroom decor|girl moms|girl gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-12,LB-00149,Boy Moms,Christmas,Mug,Holy Moly Guacamole Mug | Christmas | Boy Moms,christmas gift|holiday shirt|xmas mug|boy moms|boy gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-13,LB-00165,Book Lovers,Back to School,Mug,Custom Role Name Mug | Back to School | Book Lovers,back to school|teacher shirt|classroom decor|book lovers|book gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-14,LB-00172,Teachers,Christmas,Mug,Retro Script Mug | Christmas | Teachers,christmas gift|holiday shirt|xmas mug|teachers|teachers gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-08,LB-00180,Book Lovers,Christmas,Mug,Custom Role Name Mug | Christmas | Book Lovers,christmas gift|holiday shirt|xmas mug|book lovers|book gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-09,LB-00199,Moms of 2+,Halloween,Mug,Plant Parent Energy Mug | Halloween | Moms of 2+,halloween shirt|spooky mug|cute halloween|moms of 2+|moms gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-10,LB-00203,New Moms,Halloween,Mug,Nurse Life Mug | Halloween | New Moms,halloween shirt|spooky mug|cute halloween|new moms|new gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-11,LB-00231,New Dads,Christmas,Mug,Picture + Name Mug | Christmas | New Dads,christmas gift|holiday shirt|xmas mug|new dads|new gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-12,LB-00234,Gamers,Back to School,Mug,My Favorite Human Mug | Back to School | Gamers,back to school|teacher shirt|classroom decor|gamers|gamers gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-13,LB-00254,Moms of 2+,Christmas,Mug,Personalized Family Name Mug | Christmas | Moms of 2+,christmas gift|holiday shirt|xmas mug|moms of 2+|moms gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-14,LB-00255,Graduation Families,Back to School,Mug,Photo Collage Layout Mug | Back to School | Graduation Families,back to school|teacher shirt|classroom decor|graduation families|graduation gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-08,LB-00260,Boy Moms,Halloween,Mug,Snapshot Memory Mug | Halloween | Boy Moms,halloween shirt|spooky mug|cute halloween|boy moms|boy gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-09,LB-00271,Coffee Lovers,Back to School,Mug,Photo Collage Layout Mug | Back to School | Coffee Lovers,back to school|teacher shirt|classroom decor|coffee lovers|coffee gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-10,LB-00298,Coffee Lovers,Halloween,Mug,Picture + Name Mug | Halloween | Coffee Lovers,halloween shirt|spooky mug|cute halloween|coffee lovers|coffee gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-11,LB-00306,Boy Moms,Back to School,Mug,Forever Proud Mug | Back to School | Boy Moms,back to school|teacher shirt|classroom decor|boy moms|boy gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-12,LB-00341,Christian Moms,Back to School,Mug,Respawn and Repeat Mug | Back to School | Christian Moms,back to school|teacher shirt|classroom decor|christian moms|christian gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-13,LB-00352,Graduation Families,Halloween,Mug,Nurse Life Mug | Halloween | Graduation Families,halloween shirt|spooky mug|cute halloween|graduation families|graduation gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-14,LB-00353,Coffee Lovers,Back to School,Mug,Groovy Flowers Mug | Back to School | Coffee Lovers,back to school|teacher shirt|classroom decor|coffee lovers|coffee gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-08,LB-00369,Graduation Families,Christmas,Mug,Snapshot Memory Mug | Christmas | Graduation Families,christmas gift|holiday shirt|xmas mug|graduation families|graduation gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-09,LB-00374,Real Estate Agents,Christmas,Mug,Respawn and Repeat Mug | Christmas | Real Estate Agents,christmas gift|holiday shirt|xmas mug|real estate agents|real gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-10,LB-00377,Graduation Families,Back to School,Mug,Throwback Type Mug | Back to School | Graduation Families,back to school|teacher shirt|classroom decor|graduation families|graduation gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-11,LB-00382,Cat Moms,Halloween,Mug,Read Sleep Repeat Mug | Halloween | Cat Moms,halloween shirt|spooky mug|cute halloween|cat moms|cat gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-12,LB-00407,Gamers,Christmas,Mug,Est. Year Custom Mug | Christmas | Gamers,christmas gift|holiday shirt|xmas mug|gamers|gamers gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-13,LB-00435,Moms of 2+,Halloween,Mug,Respawn and Repeat Mug | Halloween | Moms of 2+,halloween shirt|spooky mug|cute halloween|moms of 2+|moms gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-14,LB-00436,Fitness Moms,Back to School,Mug,Custom Role Name Mug | Back to School | Fitness Moms,back to school|teacher shirt|classroom decor|fitness moms|fitness gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-08,LB-00439,Boy Moms,Christmas,Mug,Always in My Heart Mug | Christmas | Boy Moms,christmas gift|holiday shirt|xmas mug|boy moms|boy gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-09,LB-00458,New Moms,Christmas,Mug,Picture + Name Mug | Christmas | New Moms,christmas gift|holiday shirt|xmas mug|new moms|new gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-10,LB-00464,Boy Moms,Halloween,Mug,Polaroid Frame Style Mug | Halloween | Boy Moms,halloween shirt|spooky mug|cute halloween|boy moms|boy gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-11,LB-00503,Graduation Families,Back to School,Mug,Picture + Name Mug | Back to School | Graduation Families,back to school|teacher shirt|classroom decor|graduation families|graduation gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-12,LB-00519,Book Lovers,Back to School,Mug,My Favorite Human Mug | Back to School | Book Lovers,back to school|teacher shirt|classroom decor|book lovers|book gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-13,LB-00528,New Moms,Halloween,Mug,Built for Service Mug | Halloween | New Moms,halloween shirt|spooky mug|cute halloween|new moms|new gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-14,LB-00535,New Dads,Christmas,Mug,Personalized Family Name Mug | Christmas | New Dads,christmas gift|holiday shirt|xmas mug|new dads|new gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-08,LB-00550,Coffee Lovers,Halloween,Mug,Picture + Name Mug | Halloween | Coffee Lovers,halloween shirt|spooky mug|cute halloween|coffee lovers|coffee gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-09,LB-00566,New Moms,Halloween,Mug,Thank You for Everything Mug | Halloween | New Moms,halloween shirt|spooky mug|cute halloween|new moms|new gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-10,LB-00570,Dental Hygienists,Back to School,Mug,Snapshot Memory Mug | Back to School | Dental Hygienists,back to school|teacher shirt|classroom decor|dental hygienists|dental gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-11,LB-00572,Plant Lovers,Christmas,Mug,Not Today Mug | Christmas | Plant Lovers,christmas gift|holiday shirt|xmas mug|plant lovers|plant gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-12,LB-00578,Therapists,Back to School,Mug,Throwback Type Mug | Back to School | Therapists,back to school|teacher shirt|classroom decor|therapists|therapists gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-13,LB-00583,Cat Moms,Back to School,Mug,Retro Script Mug | Back to School | Cat Moms,back to school|teacher shirt|classroom decor|cat moms|cat gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
W7,2026-04-14,LB-00592,Christian Moms,Christmas,Mug,Proud to Teach Mug | Christmas | Christian Moms,christmas gift|holiday shirt|xmas mug|christian moms|christian gift|mug|funny gift|personalized gift|custom gift|trending 2026|etsy find|gift idea|family gift,16.99,14.3,queued
