wave,publish_date,listing_id,niche,season,product,title,tags,price_usd,est_margin_pct,status
W8,2026-04-15,LB-00362,Dental Hygienists,Evergreen,Sticker,Distressed Classic Sticker | Evergreen | Dental Hygienists,funny gift|personalized gift|custom shirt|dental hygienists|dental gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-16,LB-00370,Therapists,Evergreen,Sticker,My Favorite Human Sticker | Evergreen | Therapists,funny gift|personalized gift|custom shirt|therapists|therapists gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-17,LB-00395,Moms of 2+,Evergreen,Sticker,Proud to Teach Sticker | Evergreen | Moms of 2+,funny gift|personalized gift|custom shirt|moms of 2+|moms gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-18,LB-00410,Dental Hygienists,Evergreen,Sticker,Snapshot Memory Sticker | Evergreen | Dental Hygienists,funny gift|personalized gift|custom shirt|dental hygienists|dental gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-19,LB-00443,Plant Lovers,Evergreen,Sticker,Always in My Heart Sticker | Evergreen | Plant Lovers,funny gift|personalized gift|custom shirt|plant lovers|plant gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-20,LB-00450,Boy Moms,Evergreen,Sticker,Built for Service Sticker | Evergreen | Boy Moms,funny gift|personalized gift|custom shirt|boy moms|boy gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-21,LB-00451,Plant Lovers,Evergreen,Sticker,Snapshot Memory Sticker | Evergreen | Plant Lovers,funny gift|personalized gift|custom shirt|plant lovers|plant gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-15,LB-00465,Girl Moms,Evergreen,Sticker,Caregiver Heart Sticker | Evergreen | Girl Moms,funny gift|personalized gift|custom shirt|girl moms|girl gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-16,LB-00538,Graduation Families,Evergreen,Sticker,Grade A Chaos Sticker | Evergreen | Graduation Families,funny gift|personalized gift|custom shirt|graduation families|graduation gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-17,LB-00650,Boy Moms,Evergreen,Sticker,Proud to Teach Sticker | Evergreen | Boy Moms,funny gift|personalized gift|custom shirt|boy moms|boy gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-18,LB-00657,Moms of 2+,Evergreen,Sticker,Nurse Strong Sticker | Evergreen | Moms of 2+,funny gift|personalized gift|custom shirt|moms of 2+|moms gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-19,LB-00665,Nurses,Evergreen,Sticker,Est. Year Custom Sticker | Evergreen | Nurses,funny gift|personalized gift|custom shirt|nurses|nurses gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-20,LB-00705,New Moms,Evergreen,Sticker,Professionally Tired Sticker | Evergreen | New Moms,funny gift|personalized gift|custom shirt|new moms|new gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-21,LB-00724,Dental Hygienists,Evergreen,Sticker,Healing Hands Sticker | Evergreen | Dental Hygienists,funny gift|personalized gift|custom shirt|dental hygienists|dental gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-15,LB-00725,Fitness Moms,Evergreen,Sticker,Always in My Heart Sticker | Evergreen | Fitness Moms,funny gift|personalized gift|custom shirt|fitness moms|fitness gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-16,LB-00730,Plant Lovers,Evergreen,Sticker,Retro Script Sticker | Evergreen | Plant Lovers,funny gift|personalized gift|custom shirt|plant lovers|plant gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-17,LB-00743,New Moms,Evergreen,Sticker,Forever Proud Sticker | Evergreen | New Moms,funny gift|personalized gift|custom shirt|new moms|new gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-18,LB-00744,Nurses,Evergreen,Sticker,Polaroid Frame Style Sticker | Evergreen | Nurses,funny gift|personalized gift|custom shirt|nurses|nurses gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-19,LB-00745,Book Lovers,Evergreen,Sticker,Grade A Chaos Sticker | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-20,LB-00799,Girl Moms,Evergreen,Sticker,Fueled by Coffee and Chaos Sticker | Evergreen | Girl Moms,funny gift|personalized gift|custom shirt|girl moms|girl gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-21,LB-00810,Real Estate Agents,Evergreen,Sticker,Picture + Name Sticker | Evergreen | Real Estate Agents,funny gift|personalized gift|custom shirt|real estate agents|real gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-15,LB-00814,Gamers,Evergreen,Sticker,Built for Service Sticker | Evergreen | Gamers,funny gift|personalized gift|custom shirt|gamers|gamers gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-16,LB-00906,Book Lovers,Evergreen,Sticker,Picture + Name Sticker | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-17,LB-00964,Girl Moms,Evergreen,Sticker,Running on Vibes Sticker | Evergreen | Girl Moms,funny gift|personalized gift|custom shirt|girl moms|girl gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-18,LB-00990,New Moms,Evergreen,Sticker,Distressed Classic Sticker | Evergreen | New Moms,funny gift|personalized gift|custom shirt|new moms|new gift|sticker|custom gift|trending 2026|etsy find|gift idea|family gift,5.99,32.9,queued
W8,2026-04-19,LB-00035,Christian Moms,Evergreen,T-Shirt,Not Today T-Shirt | Evergreen | Christian Moms,funny gift|personalized gift|custom shirt|christian moms|christian gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-20,LB-00044,Gamers,Evergreen,T-Shirt,Always in My Heart T-Shirt | Evergreen | Gamers,funny gift|personalized gift|custom shirt|gamers|gamers gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-21,LB-00071,Book Lovers,Evergreen,T-Shirt,Plant Parent Energy T-Shirt | Evergreen | Book Lovers,funny gift|personalized gift|custom shirt|book lovers|book gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
W8,2026-04-15,LB-00094,Dog Moms,Evergreen,T-Shirt,Always in My Heart T-Shirt | Evergreen | Dog Moms,funny gift|personalized gift|custom shirt|dog moms|dog gift|t-shirt|custom gift|trending 2026|etsy find|gift idea|family gift,24.99,22.7,queued
